month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2024/12/01 05:00:00+00,Total,31,Heavy Rail,6951092,224229,355
2024/12/01 05:00:00+00,Total,31,Green Line,2222646,71698,356
2024/12/01 05:00:00+00,Total,31,Mattapan Line,59728,1927,357
2024/12/01 05:00:00+00,Total,31,Light Rail,2282374,73625,358
2024/12/01 05:00:00+00,Total,31,Silver Line,836989,27000,359
2024/12/01 05:00:00+00,Total,31,Bus,6390367,206141,360
2024/12/01 05:00:00+00,Total,31,All Bus,7227356,233141,361
2024/12/01 05:00:00+00,Total,31,Commuter Rail,2235957,72128,362
2024/12/01 05:00:00+00,Total,31,Ferry,69754,2250,363
2024/12/01 05:00:00+00,Total,31,The RIDE,98387,3174,364
2024/11/01 04:00:00+00,Weekday,20,Blue Line,983752,49188,365
2024/11/01 04:00:00+00,Weekday,20,Orange Line,2154798,107740,366
2024/11/01 04:00:00+00,Weekday,20,Red Line,2106259,105313,367
2024/11/01 04:00:00+00,Weekday,20,Heavy Rail,5244808,262240,368
2024/11/01 04:00:00+00,Weekday,20,Green Line,2167324,108366,369
2024/11/01 04:00:00+00,Weekday,20,Mattapan Line,57052,2853,370
2024/11/01 04:00:00+00,Weekday,20,Light Rail,2224376,111219,371
2024/11/01 04:00:00+00,Weekday,20,Silver Line,601656,30083,372
2024/11/01 04:00:00+00,Weekday,20,Bus,5569521,278476,373
2024/11/01 04:00:00+00,Weekday,20,All Bus,6171177,308559,374
2024/11/01 04:00:00+00,Weekday,19,Commuter Rail,1962778,103304,375
2024/11/01 04:00:00+00,Weekday,19,Ferry,82699,4353,376
2024/11/01 04:00:00+00,Weekday,21,The RIDE,82572,3932,377
2024/11/01 04:00:00+00,Saturday,5,Blue Line,183706,36741,378
2024/11/01 04:00:00+00,Saturday,5,Orange Line,379432,75886,379
2024/11/01 04:00:00+00,Saturday,5,Red Line,373332,74666,380
2024/11/01 04:00:00+00,Saturday,5,Heavy Rail,936470,187294,381
2024/11/01 04:00:00+00,Saturday,5,Green Line,444116,88823,382
2024/11/01 04:00:00+00,Saturday,5,Mattapan Line,5978,1196,383
