month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2019/11/01 04:00:00+00,Total,30,Bus,8299364,276645,3568
2020/04/01 04:00:00+00,Total,30,Private Bus,15749,525,3569
2019/12/01 05:00:00+00,Total,31,Trackless Trolley,202498,6532,3570
2020/02/01 05:00:00+00,Total,29,Ferry,140662,4850,3571
2019/10/01 04:00:00+00,Total,31,Trackless Trolley,265948,8579,3572
2019/11/01 04:00:00+00,Total,30,Trackless Trolley,227698,7590,3573
2020/04/01 04:00:00+00,Total,30,All Bus,2355622,78521,3574
2019/12/01 05:00:00+00,Total,31,Private Bus,96504,3113,3575
2020/02/01 05:00:00+00,Total,29,The RIDE,98059,3381,3576
2019/10/01 04:00:00+00,Total,31,Private Bus,86862,2802,3577
2019/11/01 04:00:00+00,Total,30,Private Bus,78954,2632,3578
2020/04/01 04:00:00+00,Total,30,Commuter Rail,55013,1834,3579
2019/12/01 05:00:00+00,Total,31,All Bus,8998485,290274,3580
2020/01/01 05:00:00+00,Weekday,21,Blue Line,1397179,66532,3581
2019/10/01 04:00:00+00,Total,31,All Bus,10903484,351725,3582
2019/11/01 04:00:00+00,Total,30,All Bus,9631009,321034,3583
2020/04/01 04:00:00+00,Total,30,The RIDE,26954,898,3584
2019/12/01 05:00:00+00,Total,31,Commuter Rail,2679997,86452,3585
2020/01/01 05:00:00+00,Weekday,21,Orange Line,4321821,205801,3586
2019/10/01 04:00:00+00,Total,31,Commuter Rail,2911497,93919,3587
2019/11/01 04:00:00+00,Total,30,Commuter Rail,2797188,93240,3588
2020/03/01 05:00:00+00,Weekday,22,Blue Line,823532,37433,3589
2019/12/01 05:00:00+00,Total,31,Ferry,140704,4539,3590
2020/01/01 05:00:00+00,Weekday,21,Red Line,5260299,250490,3591
2019/10/01 04:00:00+00,Total,31,Ferry,160480,5177,3592
2019/11/01 04:00:00+00,Total,30,Ferry,147331,4911,3593
2020/03/01 05:00:00+00,Weekday,22,Orange Line,2249698,102259,3594
2019/12/01 05:00:00+00,Total,31,The RIDE,95797,3090,3595
2019/11/01 04:00:00+00,Total,30,The RIDE,108256,3609,3596
2020/03/01 05:00:00+00,Weekday,22,Red Line,2676225,121647,3597
2019/11/01 04:00:00+00,Weekday,20,Blue Line,1370955,68548,3598
2020/03/01 05:00:00+00,Weekday,22,Heavy Rail,5749456,261339,3599
2020/03/01 05:00:00+00,Weekday,22,Green Line,1715174,77962,3600
2019/02/01 05:00:00+00,Total,28,Light Rail,4278179,152792,3601
2019/02/01 05:00:00+00,Total,28,Silver Line,827339,29548,3602
2019/02/01 05:00:00+00,Total,28,Bus,7502531,267948,3603
2019/02/01 05:00:00+00,Total,28,Trackless Trolley,223272,7974,3604
2019/02/01 05:00:00+00,Total,28,Private Bus,67231,2401,3605
2019/02/01 05:00:00+00,Total,28,All Bus,8620373,307870,3606
2019/02/01 05:00:00+00,Total,28,Commuter Rail,2384857,85173,3607
2019/02/01 05:00:00+00,Total,28,Ferry,94082,3360,3608
2019/02/01 05:00:00+00,Total,28,The RIDE,138199,4936,3609
2019/01/01 05:00:00+00,Weekday,21,Blue Line,1278062,60860,3610
2019/01/01 05:00:00+00,Weekday,21,Orange Line,4018096,191338,3611
2019/01/01 05:00:00+00,Weekday,21,Red Line,4977090,237004,3612
2019/01/01 05:00:00+00,Weekday,21,Heavy Rail,10273248,489202,3613
2019/01/01 05:00:00+00,Weekday,21,Green Line,3539303,168538,3614
2019/01/01 05:00:00+00,Weekday,21,Light Rail,3539303,168538,3615
2019/01/01 05:00:00+00,Weekday,21,Silver Line,728626,34696,3616
2019/01/01 05:00:00+00,Weekday,21,Bus,6901437,328640,3617
2019/01/01 05:00:00+00,Weekday,21,Trackless Trolley,227048,10812,3618
2019/01/01 05:00:00+00,Weekday,21,Private Bus,57372,2732,3619
2019/06/01 04:00:00+00,Total,30,Private Bus,82568,2752,3620
2019/01/01 05:00:00+00,Weekday,21,All Bus,7914483,376880,3621
2019/01/01 05:00:00+00,Weekday,21,Commuter Rail,2536128,120768,3622
2019/01/01 05:00:00+00,Weekday,21,Ferry,96936,4616,3623
2019/01/01 05:00:00+00,Weekday,21,The RIDE,119049,5669,3624
2019/01/01 05:00:00+00,Saturday,4,Blue Line,135740,33935,3625
2019/01/01 05:00:00+00,Saturday,4,Orange Line,345187,86297,3626
2019/01/01 05:00:00+00,Saturday,4,Red Line,396953,99238,3627
2019/01/01 05:00:00+00,Saturday,4,Heavy Rail,877880,219470,3628
2019/01/01 05:00:00+00,Saturday,4,Green Line,388922,97230,3629
2019/01/01 05:00:00+00,Saturday,4,Light Rail,388922,97230,3630
2019/01/01 05:00:00+00,Saturday,4,Silver Line,96473,24118,3631
2019/01/01 05:00:00+00,Saturday,4,Bus,717533,179383,3632
2019/01/01 05:00:00+00,Saturday,4,Trackless Trolley,22785,5696,3633
2019/01/01 05:00:00+00,Saturday,4,All Bus,836791,209198,3634
2019/01/01 05:00:00+00,Saturday,4,Commuter Rail,72628,18157,3635
2019/01/01 05:00:00+00,Saturday,4,The RIDE,12668,3167,3636
2019/01/01 05:00:00+00,Sunday,4,Blue Line,96036,24009,3637
2019/01/01 05:00:00+00,Sunday,4,Orange Line,227635,56909,3638
2019/01/01 05:00:00+00,Sunday,4,Red Line,286759,71690,3639
2019/01/01 05:00:00+00,Sunday,4,Heavy Rail,610431,152608,3640
2019/01/01 05:00:00+00,Sunday,4,Green Line,264217,66054,3641
2019/01/01 05:00:00+00,Sunday,4,Light Rail,264217,66054,3642
2019/01/01 05:00:00+00,Sunday,4,Silver Line,73927,18482,3643
2019/01/01 05:00:00+00,Sunday,4,Bus,453345,113336,3644
2019/01/01 05:00:00+00,Sunday,4,All Bus,527272,131818,3645
2019/01/01 05:00:00+00,Sunday,4,Commuter Rail,51856,12964,3646
2019/01/01 05:00:00+00,Sunday,4,The RIDE,8487,2122,3647
2019/01/01 05:00:00+00,Total,31,Blue Line,1606484,51822,3648
2019/01/01 05:00:00+00,Total,31,Orange Line,4825535,155662,3649
2019/01/01 05:00:00+00,Total,31,Red Line,5934838,191446,3650
2019/01/01 05:00:00+00,Total,31,Heavy Rail,12366856,398931,3651
2019/05/01 04:00:00+00,Total,31,Trackless Trolley,260752,8411,3652
2019/09/01 04:00:00+00,Total,30,Ferry,148822,4961,3653
2019/07/01 04:00:00+00,Total,31,All Bus,9764228,314975,3654
2019/04/01 04:00:00+00,Total,30,Bus,8554377,285146,3655
2019/05/01 04:00:00+00,Total,31,Private Bus,84225,2717,3656
2019/06/01 04:00:00+00,Total,30,All Bus,9499422,316647,3657
2019/07/01 04:00:00+00,Total,31,Commuter Rail,2669884,86125,3658
2019/09/01 04:00:00+00,Total,30,The RIDE,158647,5288,3659
2019/05/01 04:00:00+00,Total,31,All Bus,10287088,331842,3660
2019/06/01 04:00:00+00,Total,30,Commuter Rail,2465906,82197,3661
2019/07/01 04:00:00+00,Total,31,Ferry,150474,4854,3662
2019/08/01 04:00:00+00,Weekday,22,Blue Line,1569038,71320,3663
2019/05/01 04:00:00+00,Total,31,Commuter Rail,2702198,87168,3664
2019/06/01 04:00:00+00,Total,30,Ferry,167104,5570,3665
2019/07/01 04:00:00+00,Total,31,The RIDE,200568,6470,3666
2019/08/01 04:00:00+00,Weekday,22,Orange Line,4423578,201072,3667
2019/05/01 04:00:00+00,Total,31,Ferry,139499,4500,3668
2019/06/01 04:00:00+00,Total,30,The RIDE,150073,5002,3669
2019/06/01 04:00:00+00,Weekday,20,Blue Line,1423295,71165,3670
2019/08/01 04:00:00+00,Weekday,22,Red Line,5451750,247807,3671
2019/05/01 04:00:00+00,Total,31,The RIDE,162453,5240,3672
2019/05/01 04:00:00+00,Weekday,23,Blue Line,1510954,65694,3673
2019/06/01 04:00:00+00,Weekday,20,Orange Line,4135346,206767,3674
2019/08/01 04:00:00+00,Weekday,22,Heavy Rail,11444367,520198,3675
2019/04/01 04:00:00+00,Weekday,22,Blue Line,1474893,67041,3676
2019/05/01 04:00:00+00,Weekday,23,Orange Line,4528760,196903,3677
2019/06/01 04:00:00+00,Weekday,20,Red Line,4996532,249827,3678
2019/08/01 04:00:00+00,Weekday,22,Green Line,3794895,172495,3679
2019/04/01 04:00:00+00,Weekday,22,Orange Line,4492855,204221,3680
2019/05/01 04:00:00+00,Weekday,23,Red Line,5681868,247038,3681
2019/06/01 04:00:00+00,Weekday,20,Heavy Rail,10555173,527759,3682
2019/08/01 04:00:00+00,Weekday,22,Light Rail,3794895,172495,3683
2019/03/01 05:00:00+00,Total,31,Silver Line,995833,32124,3684
2019/04/01 04:00:00+00,Weekday,22,Red Line,5637800,256264,3685
2019/05/01 04:00:00+00,Weekday,23,Heavy Rail,11721582,509634,3686
2019/06/01 04:00:00+00,Weekday,20,Green Line,3661246,183062,3687
2019/04/01 04:00:00+00,Total,30,Trackless Trolley,247429,8248,3688
2019/08/01 04:00:00+00,Weekday,22,Silver Line,823813,37446,3689
2019/03/01 05:00:00+00,Total,31,Bus,8441657,272312,3690
2019/04/01 04:00:00+00,Weekday,22,Heavy Rail,11605549,527525,3691
2019/05/01 04:00:00+00,Weekday,23,Green Line,3960256,172185,3692
2019/06/01 04:00:00+00,Weekday,20,Light Rail,3661246,183062,3693
2019/04/01 04:00:00+00,Total,30,Private Bus,80412,2680,3694
2019/08/01 04:00:00+00,Weekday,22,Bus,7114857,323403,3695
2019/03/01 05:00:00+00,Total,31,Trackless Trolley,249097,8035,3696
2019/04/01 04:00:00+00,Weekday,22,Green Line,4158917,189042,3697
2019/05/01 04:00:00+00,Weekday,23,Light Rail,3960256,172185,3698
2019/06/01 04:00:00+00,Weekday,20,Silver Line,765614,38281,3699
2019/04/01 04:00:00+00,Total,30,All Bus,9877570,329252,3700
2019/08/01 04:00:00+00,Weekday,22,Trackless Trolley,223833,10174,3701
2019/03/01 05:00:00+00,Total,31,Private Bus,74612,2407,3702
2019/04/01 04:00:00+00,Weekday,22,Light Rail,4158917,189042,3703
2019/05/01 04:00:00+00,Weekday,23,Silver Line,850391,36974,3704
2019/06/01 04:00:00+00,Weekday,20,Bus,6752289,337614,3705
2019/04/01 04:00:00+00,Total,30,Commuter Rail,2689704,89657,3706
2019/08/01 04:00:00+00,Weekday,22,Private Bus,71610,3255,3707
2019/03/01 05:00:00+00,Total,31,All Bus,9761200,314877,3708
2019/04/01 04:00:00+00,Weekday,22,Silver Line,823061,37412,3709
2019/05/01 04:00:00+00,Weekday,23,Bus,7635732,331988,3710
2019/06/01 04:00:00+00,Weekday,20,Trackless Trolley,217986,10899,3711
2019/04/01 04:00:00+00,Total,30,Ferry,118564,3952,3712
2019/08/01 04:00:00+00,Weekday,22,All Bus,8234113,374278,3713
2019/03/01 05:00:00+00,Total,31,Commuter Rail,2628828,84801,3714
2019/04/01 04:00:00+00,Weekday,22,Bus,7481108,340050,3715
2019/05/01 04:00:00+00,Weekday,23,Trackless Trolley,249078,10829,3716
2019/06/01 04:00:00+00,Weekday,20,Private Bus,66540,3327,3717
2019/04/01 04:00:00+00,Total,30,The RIDE,157672,5256,3718
2019/08/01 04:00:00+00,Weekday,22,Commuter Rail,2655004,120682,3719
2019/04/01 04:00:00+00,Weekday,22,Trackless Trolley,234669,10667,3720
2019/03/01 05:00:00+00,Total,31,Ferry,102937,3321,3721
2019/04/01 04:00:00+00,Weekday,22,Private Bus,70774,3217,3722
2019/05/01 04:00:00+00,Weekday,23,Private Bus,76015,3305,3723
2019/03/01 05:00:00+00,Total,31,The RIDE,154294,4977,3724
2019/08/01 04:00:00+00,Weekday,22,Ferry,123200,5600,3725
2019/03/01 05:00:00+00,Weekday,21,Blue Line,1321537,62930,3726
2019/06/01 04:00:00+00,Weekday,20,All Bus,7802430,390122,3727
2019/03/01 05:00:00+00,Weekday,21,Orange Line,4150058,197622,3728
2019/02/01 05:00:00+00,Weekday,19,Blue Line,1188179,62536,3729
2019/05/01 04:00:00+00,Weekday,23,All Bus,8811215,383096,3730
2019/08/01 04:00:00+00,Weekday,22,The RIDE,125884,5722,3731
2019/04/01 04:00:00+00,Weekday,22,All Bus,8609612,391346,3732
2019/06/01 04:00:00+00,Weekday,20,Commuter Rail,2394520,119726,3733
2019/03/01 05:00:00+00,Weekday,21,Red Line,5248193,249914,3734
2019/02/01 05:00:00+00,Weekday,19,Orange Line,3750436,197391,3735
2019/05/01 04:00:00+00,Weekday,23,Commuter Rail,2777871,120777,3736
2019/08/01 04:00:00+00,Saturday,5,Blue Line,227234,45447,3737
2019/04/01 04:00:00+00,Weekday,22,Commuter Rail,2655972,120726,3738
2019/06/01 04:00:00+00,Weekday,20,Ferry,141620,7081,3739
2019/03/01 05:00:00+00,Weekday,21,Heavy Rail,10719788,510466,3740
2019/02/01 05:00:00+00,Weekday,19,Red Line,4758082,250425,3741
2019/05/01 04:00:00+00,Weekday,23,Ferry,129168,5616,3742
2019/08/01 04:00:00+00,Saturday,5,Orange Line,496504,99301,3743
2019/04/01 04:00:00+00,Weekday,22,Ferry,113036,5138,3744
2019/06/01 04:00:00+00,Weekday,20,The RIDE,121120,6056,3745
2019/03/01 05:00:00+00,Weekday,21,Green Line,3728685,177556,3746
2019/02/01 05:00:00+00,Weekday,19,Heavy Rail,9696698,510353,3747
2019/05/01 04:00:00+00,Weekday,23,The RIDE,138460,6020,3748
2019/08/01 04:00:00+00,Saturday,5,Red Line,614354,122871,3749
2019/04/01 04:00:00+00,Weekday,22,The RIDE,133386,6063,3750
2019/06/01 04:00:00+00,Saturday,5,Blue Line,228042,45608,3751
2019/03/01 05:00:00+00,Weekday,21,Light Rail,3728685,177556,3752
2019/02/01 05:00:00+00,Weekday,19,Green Line,3427318,180385,3753
2019/05/01 04:00:00+00,Saturday,4,Blue Line,177652,44413,3754
2019/08/01 04:00:00+00,Saturday,5,Heavy Rail,1338091,267618,3755
2019/04/01 04:00:00+00,Saturday,4,Blue Line,172474,43118,3756
2019/06/01 04:00:00+00,Saturday,5,Orange Line,556675,111335,3757
2019/03/01 05:00:00+00,Weekday,21,Silver Line,786680,37461,3758
2019/02/01 05:00:00+00,Weekday,19,Light Rail,3427318,180385,3759
2019/05/01 04:00:00+00,Saturday,4,Orange Line,436823,109206,3760
2019/08/01 04:00:00+00,Saturday,5,Green Line,519289,103858,3761
2019/04/01 04:00:00+00,Saturday,4,Orange Line,427902,106976,3762
2019/06/01 04:00:00+00,Saturday,5,Red Line,650702,130140,3763
2019/03/01 05:00:00+00,Weekday,21,Bus,7155921,340758,3764
2019/02/01 05:00:00+00,Weekday,19,Silver Line,655079,34478,3765
2019/05/01 04:00:00+00,Saturday,4,Red Line,532708,133177,3766
2019/08/01 04:00:00+00,Saturday,5,Light Rail,519289,103858,3767
2019/04/01 04:00:00+00,Saturday,4,Red Line,490722,122680,3768
2019/06/01 04:00:00+00,Saturday,5,Heavy Rail,1435419,287084,3769
2019/03/01 05:00:00+00,Weekday,21,Trackless Trolley,228674,10889,3770
2019/02/01 05:00:00+00,Weekday,19,Bus,6360567,334767,3771
2019/05/01 04:00:00+00,Saturday,4,Heavy Rail,1147184,286796,3772
2019/08/01 04:00:00+00,Saturday,5,Silver Line,114274,22855,3773
2019/04/01 04:00:00+00,Saturday,4,Heavy Rail,1091098,272774,3774
2019/06/01 04:00:00+00,Saturday,5,Green Line,565978,113196,3775
2019/03/01 05:00:00+00,Weekday,21,Private Bus,64281,3061,3776
2019/02/01 05:00:00+00,Weekday,19,Trackless Trolley,203461,10708,3777
2019/05/01 04:00:00+00,Saturday,4,Green Line,461370,115342,3778
2019/08/01 04:00:00+00,Saturday,5,Bus,883945,176789,3779
2019/04/01 04:00:00+00,Saturday,4,Green Line,507429,126857,3780
2019/08/01 04:00:00+00,Total,31,Commuter Rail,2800661,90344,3781
2019/06/01 04:00:00+00,Saturday,5,Light Rail,565978,113196,3782
2019/03/01 05:00:00+00,Weekday,21,All Bus,8235556,392169,3783
2019/02/01 05:00:00+00,Weekday,19,Private Bus,57057,3003,3784
2019/05/01 04:00:00+00,Saturday,4,Light Rail,461370,115342,3785
2019/08/01 04:00:00+00,Saturday,5,Trackless Trolley,29473,5895,3786
2019/04/01 04:00:00+00,Saturday,4,Light Rail,507429,126857,3787
2019/08/01 04:00:00+00,Total,31,Ferry,151493,4887,3788
2019/06/01 04:00:00+00,Saturday,5,Silver Line,115498,23100,3789
2019/03/01 05:00:00+00,Weekday,21,Commuter Rail,2558136,121816,3790
2019/02/01 05:00:00+00,Weekday,19,All Bus,7276164,382956,3791
2019/05/01 04:00:00+00,Saturday,4,Silver Line,90377,22594,3792
2019/08/01 04:00:00+00,Saturday,5,All Bus,1027693,205539,3793
2019/04/01 04:00:00+00,Saturday,4,Silver Line,87541,21885,3794
2019/08/01 04:00:00+00,Total,31,The RIDE,202987,6548,3795
2019/06/01 04:00:00+00,Saturday,5,Bus,901980,180396,3796
2019/03/01 05:00:00+00,Weekday,21,Ferry,115773,5513,3797
2019/02/01 05:00:00+00,Weekday,19,Commuter Rail,2318133,122007,3798
2019/05/01 04:00:00+00,Saturday,4,Bus,721154,180288,3799
2019/08/01 04:00:00+00,Saturday,5,Commuter Rail,92185,18437,3800
2019/04/01 04:00:00+00,Saturday,4,Bus,690879,172720,3801
2019/07/01 04:00:00+00,Weekday,22,Blue Line,1595001,72500,3802
2019/06/01 04:00:00+00,Saturday,5,Trackless Trolley,28309,5662,3803
2019/03/01 05:00:00+00,Weekday,21,The RIDE,127197,6057,3804
2019/02/01 05:00:00+00,Weekday,19,Ferry,87685,4615,3805
2019/05/01 04:00:00+00,Saturday,4,Trackless Trolley,21268,5317,3806
2019/08/01 04:00:00+00,Saturday,5,The RIDE,14840,2968,3807
2019/04/01 04:00:00+00,Saturday,4,Trackless Trolley,20529,5132,3808
2019/07/01 04:00:00+00,Weekday,22,Orange Line,4532500,206023,3809
2019/06/01 04:00:00+00,Saturday,5,All Bus,1045787,209157,3810
2019/03/01 05:00:00+00,Saturday,5,Blue Line,182708,36542,3811
2019/02/01 05:00:00+00,Weekday,19,The RIDE,110010,5790,3812
2019/05/01 04:00:00+00,Saturday,4,All Bus,832799,208200,3813
2019/05/01 04:00:00+00,Saturday,4,Commuter Rail,74820,18705,3814
2019/05/01 04:00:00+00,Saturday,4,The RIDE,12000,3000,3815
2019/05/01 04:00:00+00,Sunday,4,Blue Line,129477,32369,3816
2019/05/01 04:00:00+00,Sunday,4,Orange Line,297767,74442,3817
2019/05/01 04:00:00+00,Sunday,4,Red Line,388111,97028,3818
2019/05/01 04:00:00+00,Sunday,4,Heavy Rail,815355,203839,3819
2019/05/01 04:00:00+00,Sunday,4,Green Line,330528,82632,3820
2019/05/01 04:00:00+00,Sunday,4,Light Rail,330528,82632,3821
2019/05/01 04:00:00+00,Sunday,4,Silver Line,99156,24789,3822
2019/05/01 04:00:00+00,Sunday,4,Bus,572331,143083,3823
2019/05/01 04:00:00+00,Sunday,4,All Bus,671487,167872,3824
2019/05/01 04:00:00+00,Sunday,4,Commuter Rail,50736,12684,3825
2019/05/01 04:00:00+00,Sunday,4,The RIDE,11191,2798,3826
2019/05/01 04:00:00+00,Total,31,Blue Line,1858843,59963,3827
2019/05/01 04:00:00+00,Total,31,Orange Line,5354899,172739,3828
2019/05/01 04:00:00+00,Total,31,Red Line,6705541,216308,3829
2019/05/01 04:00:00+00,Total,31,Heavy Rail,13919283,449009,3830
2019/05/01 04:00:00+00,Total,31,Green Line,4853219,156555,3831
2019/05/01 04:00:00+00,Total,31,Light Rail,4853219,156555,3832
2019/05/01 04:00:00+00,Total,31,Silver Line,1054740,34024,3833
2019/05/01 04:00:00+00,Total,31,Bus,8887371,286689,3834
2019/07/01 04:00:00+00,Weekday,22,Red Line,5580380,253654,3835
2019/08/01 04:00:00+00,Sunday,4,Blue Line,145674,36418,3836
2019/04/01 04:00:00+00,Saturday,4,All Bus,798949,199737,3837
2019/06/01 04:00:00+00,Saturday,5,Commuter Rail,93285,18657,3838
2019/02/01 05:00:00+00,Saturday,4,Blue Line,146338,36584,3839
2019/03/01 05:00:00+00,Saturday,5,Orange Line,493859,98772,3840
2019/07/01 04:00:00+00,Weekday,22,Heavy Rail,11707881,532176,3841
2019/08/01 04:00:00+00,Sunday,4,Orange Line,300910,75228,3842
2019/04/01 04:00:00+00,Saturday,4,Commuter Rail,74924,18731,3843
2019/06/01 04:00:00+00,Saturday,5,The RIDE,15500,3100,3844
2019/02/01 05:00:00+00,Saturday,4,Orange Line,374656,93664,3845
2019/03/01 05:00:00+00,Saturday,5,Red Line,564893,112979,3846
2019/07/01 04:00:00+00,Weekday,22,Green Line,3965521,180251,3847
2019/08/01 04:00:00+00,Sunday,4,Red Line,397855,99464,3848
2019/04/01 04:00:00+00,Saturday,4,The RIDE,12148,3037,3849
2019/06/01 04:00:00+00,Sunday,5,Blue Line,166652,33330,3850
2019/02/01 05:00:00+00,Saturday,4,Red Line,413718,103430,3851
2019/03/01 05:00:00+00,Saturday,5,Heavy Rail,1241459,248292,3852
2019/07/01 04:00:00+00,Weekday,22,Light Rail,3965521,180251,3853
2019/08/01 04:00:00+00,Sunday,4,Heavy Rail,844439,211110,3854
2019/04/01 04:00:00+00,Sunday,4,Blue Line,130320,32580,3855
2019/06/01 04:00:00+00,Sunday,5,Orange Line,388652,77730,3856
2019/02/01 05:00:00+00,Saturday,4,Heavy Rail,934712,233678,3857
2019/03/01 05:00:00+00,Saturday,5,Green Line,558866,111773,3858
2019/07/01 04:00:00+00,Weekday,22,Silver Line,825192,37509,3859
2019/08/01 04:00:00+00,Sunday,4,Green Line,329283,82321,3860
2019/04/01 04:00:00+00,Sunday,4,Orange Line,305143,76286,3861
2019/06/01 04:00:00+00,Sunday,5,Red Line,477056,95411,3862
2019/02/01 05:00:00+00,Saturday,4,Green Line,440993,110248,3863
2019/03/01 05:00:00+00,Saturday,5,Light Rail,558866,111773,3864
2019/07/01 04:00:00+00,Weekday,22,Bus,7204590,327481,3865
2019/08/01 04:00:00+00,Sunday,4,Light Rail,329283,82321,3866
2019/04/01 04:00:00+00,Sunday,4,Red Line,368734,92184,3867
2019/06/01 04:00:00+00,Sunday,5,Heavy Rail,1032360,206472,3868
2019/02/01 05:00:00+00,Saturday,4,Light Rail,440993,110248,3869
2019/03/01 05:00:00+00,Saturday,5,Silver Line,105953,21191,3870
2019/07/01 04:00:00+00,Weekday,22,Trackless Trolley,236254,10739,3871
2019/08/01 04:00:00+00,Sunday,4,Silver Line,76243,19061,3872
2019/04/01 04:00:00+00,Sunday,4,Heavy Rail,804197,201049,3873
2019/06/01 04:00:00+00,Sunday,5,Green Line,401523,80305,3874
2019/02/01 05:00:00+00,Saturday,4,Silver Line,99588,24897,3875
2019/03/01 05:00:00+00,Saturday,5,Bus,822544,164509,3876
2019/07/01 04:00:00+00,Weekday,22,Private Bus,73744,3352,3877
2019/08/01 04:00:00+00,Sunday,4,Bus,468545,117136,3878
2019/04/01 04:00:00+00,Sunday,4,Green Line,378052,94513,3879
2019/06/01 04:00:00+00,Sunday,5,Light Rail,401523,80305,3880
2019/02/01 05:00:00+00,Saturday,4,Bus,783211,195803,3881
2019/03/01 05:00:00+00,Saturday,5,Trackless Trolley,27327,5465,3882
2019/07/01 04:00:00+00,Weekday,22,All Bus,8339781,379081,3883
2019/08/01 04:00:00+00,Sunday,4,All Bus,544788,136197,3884
2019/04/01 04:00:00+00,Sunday,4,Light Rail,378052,94513,3885
2019/06/01 04:00:00+00,Sunday,5,Silver Line,93567,18713,3886
2019/02/01 05:00:00+00,Saturday,4,Trackless Trolley,26022,6506,3887
2019/03/01 05:00:00+00,Saturday,5,All Bus,955824,191165,3888
2019/07/01 04:00:00+00,Weekday,22,Commuter Rail,2625150,119325,3889
2019/08/01 04:00:00+00,Sunday,4,Commuter Rail,53472,13368,3890
2019/04/01 04:00:00+00,Sunday,4,Silver Line,70878,17720,3891
2019/06/01 04:00:00+00,Sunday,5,Bus,576674,115335,3892
2019/02/01 05:00:00+00,Saturday,4,All Bus,908821,227205,3893
2019/03/01 05:00:00+00,Saturday,5,Commuter Rail,92640,18528,3894
2019/07/01 04:00:00+00,Weekday,22,Ferry,121000,5500,3895
2019/08/01 04:00:00+00,Sunday,4,The RIDE,10809,2702,3896
2019/04/01 04:00:00+00,Sunday,4,Bus,446571,111643,3897
2019/06/01 04:00:00+00,Sunday,5,All Bus,670242,134048,3898
2019/02/01 05:00:00+00,Saturday,4,Commuter Rail,74492,18623,3899
2019/03/01 05:00:00+00,Saturday,5,The RIDE,19865,3973,3900
2019/07/01 04:00:00+00,Weekday,22,The RIDE,123486,5613,3901
2019/08/01 04:00:00+00,Total,31,Blue Line,1941946,62643,3902
2019/04/01 04:00:00+00,Sunday,4,All Bus,517449,129362,3903
2019/06/01 04:00:00+00,Sunday,5,Commuter Rail,63095,12619,3904
2019/02/01 05:00:00+00,Saturday,4,The RIDE,11892,2973,3905
2019/03/01 05:00:00+00,Sunday,5,Blue Line,134619,26924,3906
2019/03/01 05:00:00+00,Sunday,5,Orange Line,352086,70417,3907
2019/03/01 05:00:00+00,Sunday,5,Red Line,443749,88750,3908
2019/03/01 05:00:00+00,Sunday,5,Heavy Rail,930455,186091,3909
2019/03/01 05:00:00+00,Sunday,5,Green Line,405214,81043,3910
2019/03/01 05:00:00+00,Sunday,5,Light Rail,405214,81043,3911
2019/03/01 05:00:00+00,Sunday,5,Silver Line,89404,17881,3912
2019/03/01 05:00:00+00,Sunday,5,Bus,522371,104474,3913
2019/03/01 05:00:00+00,Sunday,5,All Bus,611775,122355,3914
2019/03/01 05:00:00+00,Sunday,5,Commuter Rail,68645,13729,3915
2019/03/01 05:00:00+00,Sunday,5,The RIDE,12703,2541,3916
2019/03/01 05:00:00+00,Total,31,Blue Line,1638864,52867,3917
2019/03/01 05:00:00+00,Total,31,Orange Line,4996003,161161,3918
2019/03/01 05:00:00+00,Total,31,Red Line,6256835,201833,3919
2019/03/01 05:00:00+00,Total,31,Heavy Rail,12891702,415861,3920
2019/03/01 05:00:00+00,Total,31,Green Line,4692764,151379,3921
2019/03/01 05:00:00+00,Total,31,Light Rail,4692764,151379,3922
2019/07/01 04:00:00+00,Saturday,4,Blue Line,194219,48555,3923
2019/08/01 04:00:00+00,Total,31,Orange Line,5220991,168419,3924
2019/04/01 04:00:00+00,Sunday,4,Commuter Rail,51508,12877,3925
2019/06/01 04:00:00+00,Sunday,5,The RIDE,13650,2730,3926
2019/07/01 04:00:00+00,Saturday,4,Orange Line,409140,102285,3927
2019/08/01 04:00:00+00,Total,31,Red Line,6463959,208515,3928
2019/04/01 04:00:00+00,Sunday,4,The RIDE,11936,2984,3929
2019/02/01 05:00:00+00,Sunday,4,Blue Line,106301,26575,3930
2019/06/01 04:00:00+00,Total,30,Blue Line,1817989,60600,3931
2019/07/01 04:00:00+00,Saturday,4,Red Line,477098,119274,3932
2019/08/01 04:00:00+00,Total,31,Heavy Rail,13626897,439577,3933
2019/04/01 04:00:00+00,Total,30,Blue Line,1777688,59256,3934
2019/02/01 05:00:00+00,Sunday,4,Orange Line,267268,66817,3935
2019/06/01 04:00:00+00,Total,30,Orange Line,5080673,169356,3936
2019/07/01 04:00:00+00,Saturday,4,Heavy Rail,1080458,270114,3937
2019/08/01 04:00:00+00,Total,31,Green Line,4643466,149789,3938
2019/04/01 04:00:00+00,Total,30,Orange Line,5225900,174197,3939
2019/02/01 05:00:00+00,Sunday,4,Red Line,315576,78894,3940
2019/06/01 04:00:00+00,Total,30,Red Line,6124291,204143,3941
2019/07/01 04:00:00+00,Saturday,4,Green Line,433286,108322,3942
2019/08/01 04:00:00+00,Total,31,Light Rail,4643466,149789,3943
2019/04/01 04:00:00+00,Total,30,Red Line,6497257,216575,3944
2019/02/01 05:00:00+00,Sunday,4,Heavy Rail,689146,172286,3945
